"ProcessFamily","Source","Subprocess","AppId","AppName","AppType","Role","ReleaseAnchor","PublicCloud2602","Catalog","Component","UsageType","MexicoRelevant","ValidationStatus","SourceFile"
"Lead-to-Cash / Order-to-Cash","O2C/L2C","Analitica devoluciones","F4092","Customer Returns - Return Rate","Analytical","Sales Manager","S32PCE","Si","SAP_SD_BC_RETURNS_ANA","SD-ANA","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Lead-to-Cash / Order-to-Cash","O2C/L2C","Aprobacion cotizacion","F5044","My Inbox - Approve Sales Quotations","Transactional","Sales Manager","S32PCE","Si","SAP_SD_BC_MYINBOX","SD-FIO-SLS","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Lead-to-Cash / Order-to-Cash","O2C/L2C","Aprobacion devolucion","F5053","My Inbox - Approve Customer Returns","Transactional","Sales Manager","S32PCE","Si","SAP_SD_BC_MYINBOX","SD-FIO-SLS","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Lead-to-Cash / Order-to-Cash","O2C/L2C","Aprobacion pedido","F5041","My Inbox - Approve Sales Orders","Transactional","Sales Manager","S32PCE","Si","SAP_SD_BC_MYINBOX","SD-FIO-SLS","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Lead-to-Cash / Order-to-Cash","O2C/L2C","Aprobacion preliminary billing","F5043","My Inbox - Approve Preliminary Billing Documents","Transactional","Billing Clerk","S32PCE","Si","SAP_SD_BC_BIL_MYINBOX","SD-FIO-BIL","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Lead-to-Cash / Order-to-Cash","O2C/L2C","AR overview","F3242","Accounts Receivable Overview","Analytical","Accounts Receivable Manager","S32PCE","Si","SAP_SFIN_BC_AR_ANALYTICS","FI-FIO-AR","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Lead-to-Cash / Order-to-Cash","O2C/L2C","Backorders","F5307","Sales Order Items - Backorders","Analytical","Others","S32PCE","Si","SAP_SD_BC_SALES_ANLYTS_OP","SD-ANA","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Lead-to-Cash / Order-to-Cash","O2C/L2C","Bank statement","F1520","Reprocess Bank Statement Items","Transactional","Accounts Receivable Accountant","S32PCE","Si","SAP_SFIN_BC_BA_BANKSTAT","FI-FIO-AR-PAY","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Lead-to-Cash / Order-to-Cash","O2C/L2C","Bank statement","F1564","Manage Bank Statements","Transactional","Cash Management Specialist","S32PCE","Si","SAP_SFIN_BC_BA_BANKSTAT","FI-FIO-AR-PAY","Standard / curated","No flagged","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Lead-to-Cash / Order-to-Cash","O2C/L2C","Billing from preliminary","F5137","Schedule Billing Creation for Preliminary Billing Documents","Transactional","Others","S32PCE","Si","SAP_SD_BC_BIL_SCHEDULE","SD-BIL","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
"Lead-to-Cash / Order-to-Cash","O2C/L2C","Billing request","F2960","Manage Billing Document Requests","Transactional","Billing Clerk","S32PCE","Si","SAP_SD_BC_BIL_DOC_REQ","SD-FIO-BIL","Standard / curated","Review","FARL sourced; tenant validation pending","docs/deliverables/s4hana-fiori-o2c-l2c-app-inventory.md"
